NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
253,1,2531,Grovyle,Grass,,3,0,0,0.9,21.6,50,65,45,85,65,95,405
254,1,2541,Sceptile,Grass,,3,0,0,1.7,52.2,70,85,65,105,85,120,530
254,2,2542,Mega Sceptile,Grass,Dragon,3,0,1,1.9,55.2,70,110,75,145,85,145,630
255,1,2551,Torchic,Fire,,3,0,0,0.4,2.5,45,60,40,70,50,45,310
256,1,2561,Combusken,Fire,Fighting,3,0,0,0.9,19.5,60,85,60,85,60,55,405
257,1,2571,Blaziken,Fire,Fighting,3,0,0,1.9,52,80,120,70,110,70,80,530
257,2,2572,Mega Blaziken,Fire,Fighting,3,0,1,1.9,52,80,160,80,130,80,100,630
258,1,2581,Mudkip,Water,,3,0,0,0.4,7.6,50,70,50,50,50,40,310
259,1,2591,Marshtomp,Water,Ground,3,0,0,0.7,28,70,85,70,60,70,50,405
260,1,2601,Swampert,Water,Ground,3,0,0,1.5,81.9,100,110,90,85,90,60,535
260,2,2602,Mega Swampert,Water,Ground,3,0,1,1.9,102,100,150,110,95,110,70,635
261,1,2611,Poochyena,Dark,,3,0,0,0.5,13.6,35,55,35,30,30,35,220
262,1,2621,Mightyena,Dark,,3,0,0,1.0,37,70,90,70,60,60,70,420
263,1,2631,Zigzagoon,Normal,,3,0,0,0.4,17.5,38,30,41,30,41,60,240
263,2,2632,Zigzagoon,Dark,Normal,8,0,0,0.4,17.5,38,30,41,30,41,60,240
264,1,2641,Linoone,Normal,,3,0,0,0.5,32.5,78,70,61,50,61,100,420
264,2,2642,Linoone,Dark,Normal,8,0,0,0.5,32.5,78,70,61,50,61,100,420
265,1,2651,Wurmple,Bug,,3,0,0,0.3,3.6,45,45,35,20,30,20,195
266,1,2661,Silcoon,Bug,,3,0,0,0.6,10,50,35,55,25,25,15,205
267,1,2671,Beautifly,Bug,Flying,3,0,0,1.0,28.4,60,70,50,100,50,65,395
268,1,2681,Cascoon,Bug,,3,0,0,0.7,11.5,50,35,55,25,25,15,205
269,1,2691,Dustox,Bug,Poison,3,0,0,1.2,31.6,60,50,70,50,90,65,385
270,1,2701,Lotad,Water,Grass,3,0,0,0.5,2.6,40,30,30,40,50,30,220
271,1,2711,Lombre,Water,Grass,3,0,0,1.2,32.5,60,50,50,60,70,50,340
272,1,2721,Ludicolo,Water,Grass,3,0,0,1.5,55,80,70,70,90,100,70,480
273,1,2731,Seedot,Grass,,3,0,0,0.5,4,40,40,50,30,30,30,220
274,1,2741,Nuzleaf,Grass,Dark,3,0,0,1.0,28,70,70,40,60,40,60,340
275,1,2751,Shiftry,Grass,Dark,3,0,0,1.3,59.6,90,100,60,90,60,80,480
276,1,2761,Taillow,Normal,Flying,3,0,0,0.3,2.3,40,55,30,30,30,85,270
277,1,2771,Swellow,Normal,Flying,3,0,0,0.7,19.8,60,85,60,75,50,125,455
278,1,2781,Wingull,Water,Flying,3,0,0,0.6,9.5,40,30,30,55,30,85,270
279,1,2791,Pelipper,Water,Flying,3,0,0,1.2,28,60,50,100,95,70,65,440
280,1,2801,Ralts,Psychic,Fairy,3,0,0,0.4,6.6,28,25,25,45,35,40,198
281,1,2811,Kirlia,Psychic,Fairy,3,0,0,0.8,20.2,38,35,35,65,55,50,278
282,1,2821,Gardevoir,Psychic,Fairy,3,0,0,1.6,48.4,68,65,65,125,115,80,518
282,2,2822,Mega Gardevoir,Psychic,Fairy,3,0,1,1.6,48.4,68,85,65,165,135,100,618
283,1,2831,Surskit,Bug,Water,3,0,0,0.5,1.7,40,30,32,50,52,65,269
284,1,2841,Masquerain,Bug,Flying,3,0,0,0.8,3.6,70,60,62,100,82,80,454
285,1,2851,Shroomish,Grass,,3,0,0,0.4,4.5,60,40,60,40,60,35,295
286,1,2861,Breloom,Grass,Fighting,3,0,0,1.2,39.2,60,130,80,60,60,70,460
287,1,2871,Slakoth,Normal,,3,0,0,0.8,24,60,60,60,35,35,30,280
288,1,2881,Vigoroth,Normal,,3,0,0,1.4,46.5,80,80,80,55,55,90,440
289,1,2891,Slaking,Normal,,3,0,0,2.0,130.5,150,160,100,95,65,100,670
290,1,2901,Nincada,Bug,Ground,3,0,0,0.5,5.5,31,45,90,30,30,40,266
291,1,2911,Ninjask,Bug,Flying,3,0,0,0.8,12,61,90,45,50,50,160,456
292,1,2921,Shedinja,Bug,Ghost,3,0,0,0.8,1.2,1,90,45,30,30,40,236
293,1,2931,Whismur,Normal,,3,0,0,0.6,16.3,64,51,23,51,23,28,240
294,1,2941,Loudred,Normal,,3,0,0,1.0,40.5,84,71,43,71,43,48,360
295,1,2951,Exploud,Normal,,3,0,0,1.5,84,104,91,63,91,73,68,490
296,1,2961,Makuhita,Fighting,,3,0,0,1.0,86.4,72,60,30,20,30,25,237
297,1,2971,Hariyama,Fighting,,3,0,0,2.3,253.8,144,120,60,40,60,50,474
298,1,2981,Azurill,Normal,Fairy,3,0,0,0.2,2,50,20,40,20,40,20,190
299,1,2991,Nosepass,Rock,,3,0,0,1.0,97,30,45,135,45,90,30,375
300,1,3001,Skitty,Normal,,3,0,0,0.6,11,50,45,45,35,35,50,260
301,1,3011,Delcatty,Normal,,3,0,0,1.1,32.6,70,65,65,55,55,90,400
302,1,3021,Sableye,Dark,Ghost,3,0,0,0.5,11,50,75,75,65,65,50,380
302,2,3022,Mega Sableye,Dark,Ghost,3,0,1,0.5,161,50,85,125,85,115,20,480
303,1,3031,Mawile,Steel,Fairy,3,0,0,0.6,11.5,50,85,85,55,55,50,380
303,2,3032,Mega Mawile,Steel,Fairy,3,0,1,1.0,23.5,50,105,125,55,95,50,480
304,1,3041,Aron,Steel,Rock,3,0,0,0.4,60,50,70,100,40,40,30,330
305,1,3051,Lairon,Steel,Rock,3,0,0,0.9,120,60,90,140,50,50,40,430
306,1,3061,Aggron,Steel,Rock,3,0,0,2.1,360,70,110,180,60,60,50,530
306,2,3062,Mega Aggron,Steel,,3,0,1,2.2,395,70,140,230,60,80,50,630
307,1,3071,Meditite,Fighting,Psychic,3,0,0,0.6,11.2,30,40,55,40,55,60,280
308,1,3081,Medicham,Fighting,Psychic,3,0,0,1.3,31.5,60,60,75,60,75,80,410
308,2,3082,Mega Medicham,Fighting,Psychic,3,0,1,1.3,31.5,60,100,85,80,85,100,510
309,1,3091,Electrike,Electric,,3,0,0,0.6,15.2,40,45,40,65,40,65,295
310,1,3101,Manectric,Electric,,3,0,0,1.5,40.2,70,75,60,105,60,105,475
310,2,3102,Mega Manectric,Electric,,3,0,1,1.8,44,70,75,80,135,80,135,575
311,1,3111,Plusle,Electric,,3,0,0,0.4,4.2,60,50,40,85,75,95,405
312,1,3121,Minun,Electric,,3,0,0,0.4,4.2,60,40,50,75,85,95,405
313,1,3131,Volbeat,Bug,,3,0,0,0.7,17.7,65,73,75,47,85,85,430
314,1,3141,Illumise,Bug,,3,0,0,0.6,17.7,65,47,75,73,85,85,430
315,1,3151,Roselia,Grass,Poison,3,0,0,0.3,2,50,60,45,100,80,65,400
316,1,3161,Gulpin,Poison,,3,0,0,0.4,10.3,70,43,53,43,53,40,302
317,1,3171,Swalot,Poison,,3,0,0,1.7,80,100,73,83,73,83,55,467
318,1,3181,Carvanha,Water,Dark,3,0,0,0.8,20.8,45,90,20,65,20,65,305
319,1,3191,Sharpedo,Water,Dark,3,0,0,1.8,88.8,70,120,40,95,40,95,460
319,2,3192,Mega Sharpedo,Water,Dark,3,0,1,2.5,130.3,70,140,70,110,65,105,560
320,1,3201,Wailmer,Water,,3,0,0,2.0,130,130,70,35,70,35,60,400
321,1,3211,Wailord,Water,,3,0,0,14.5,398,170,90,45,90,45,60,500
322,1,3221,Numel,Fire,Ground,3,0,0,0.7,24,60,60,40,65,45,35,305
323,1,3231,Camerupt,Fire,Ground,3,0,0,1.9,220,70,100,70,105,75,40,460
323,2,3232,Mega Camerupt,Fire,Ground,3,0,1,2.5,320.5,70,120,100,145,105,20,560
324,1,3241,Torkoal,Fire,,3,0,0,0.5,80.4,70,85,140,85,70,20,470
325,1,3251,Spoink,Psychic,,3,0,0,0.7,30.6,60,25,35,70,80,60,330
326,1,3261,Grumpig,Psychic,,3,0,0,0.9,71.5,80,45,65,90,110,80,470
327,1,3271,Spinda,Normal,,3,0,0,1.1,5,60,60,60,60,60,60,360
328,1,3281,Trapinch,Ground,,3,0,0,0.7,15,45,100,45,45,45,10,290
329,1,3291,Vibrava,Ground,Dragon,3,0,0,1.1,15.3,50,70,50,50,50,70,340
330,1,3301,Flygon,Ground,Dragon,3,0,0,2.0,82,80,100,80,80,80,100,520
331,1,3311,Cacnea,Grass,,3,0,0,0.4,51.3,50,85,40,85,40,35,335
332,1,3321,Cacturne,Grass,Dark,3,0,0,1.3,77.4,70,115,60,115,60,55,475
333,1,3331,Swablu,Normal,Flying,3,0,0,0.4,1.2,45,40,60,40,75,50,310
334,1,3341,Altaria,Dragon,Flying,3,0,0,1.1,20.6,75,70,90,70,105,80,490
334,2,3342,Mega Altaria,Dragon,Fairy,3,0,1,1.5,20.6,75,110,110,110,105,80,590
335,1,3351,Zangoose,Normal,,3,0,0,1.3,40.3,73,115,60,60,60,90,458
336,1,3361,Seviper,Poison,,3,0,0,2.7,52.5,73,100,60,100,60,65,458
337,1,3371,Lunatone,Rock,Psychic,3,0,0,1.0,168,90,55,65,95,85,70,460
338,1,3381,Solrock,Rock,Psychic,3,0,0,1.2,154,90,95,85,55,65,70,460
339,1,3391,Barboach,Water,Ground,3,0,0,0.4,1.9,50,48,43,46,41,60,288
340,1,3401,Whiscash,Water,Ground,3,0,0,0.9,23.6,110,78,73,76,71,60,468
341,1,3411,Corphish,Water,,3,0,0,0.6,11.5,43,80,65,50,35,35,308
342,1,3421,Crawdaunt,Water,Dark,3,0,0,1.1,32.8,63,120,85,90,55,55,468
343,1,3431,Baltoy,Ground,Psychic,3,0,0,0.5,21.5,40,40,55,40,70,55,300
344,1,3441,Claydol,Ground,Psychic,3,0,0,1.5,108,60,70,105,70,120,75,500
345,1,3451,Lileep,Rock,Grass,3,0,0,1.0,23.8,66,41,77,61,87,23,355
346,1,3461,Cradily,Rock,Grass,3,0,0,1.5,60.4,86,81,97,81,107,43,495
347,1,3471,Anorith,Rock,Bug,3,0,0,0.7,12.5,45,95,50,40,50,75,355
348,1,3481,Armaldo,Rock,Bug,3,0,0,1.5,68.2,75,125,100,70,80,45,495
349,1,3491,Feebas,Water,,3,0,0,0.6,7.4,20,15,20,10,55,80,200
350,1,3501,Milotic,Water,,3,0,0,6.2,162,95,60,79,100,125,81,540
351,1,3511,Castform,Normal,,3,0,0,0.3,0.8,70,70,70,70,70,70,420
351,2,3512,Castform,Fire,,3,0,0,0.3,0.8,70,70,70,70,70,70,420
351,3,3513,Castform,Water,,3,0,0,0.3,0.8,70,70,70,70,70,70,420
351,4,3514,Castform,Ice,,3,0,0,0.3,0.8,70,70,70,70,70,70,420
352,1,3521,Kecleon,Normal,,3,0,0,1.0,22,60,90,70,60,120,40,440
353,1,3531,Shuppet,Ghost,,3,0,0,0.6,2.3,44,75,35,63,33,45,295
354,1,3541,Banette,Ghost,,3,0,0,1.1,12.5,64,115,65,83,63,65,455
354,2,3542,Mega Banette,Ghost,,3,0,1,1.2,13,64,165,75,93,83,75,555
355,1,3551,Duskull,Ghost,,3,0,0,0.8,15,20,40,90,30,90,25,295
356,1,3561,Dusclops,Ghost,,3,0,0,1.6,30.6,40,70,130,60,130,25,455
357,1,3571,Tropius,Grass,Flying,3,0,0,2.0,100,99,68,83,72,87,51,460
358,1,3581,Chimecho,Psychic,,3,0,0,0.6,1,75,50,80,95,90,65,455
359,1,3591,Absol,Dark,,3,0,0,1.2,47,65,130,60,75,60,75,465
359,2,3592,Mega Absol,Dark,,3,0,1,1.2,49,65,150,60,115,60,115,565
360,1,3601,Wynaut,Psychic,,3,0,0,0.6,14,95,23,48,23,48,23,260
361,1,3611,Snorunt,Ice,,3,0,0,0.7,16.8,50,50,50,50,50,50,300
362,1,3621,Glalie,Ice,,3,0,0,1.5,256.5,80,80,80,80,80,80,480
362,2,3622,Mega Glalie,Ice,,3,0,1,2.1,350.2,80,120,80,120,80,100,580
363,1,3631,Spheal,Ice,Water,3,0,0,0.8,39.5,70,40,50,55,50,25,290
364,1,3641,Sealeo,Ice,Water,3,0,0,1.1,87.6,90,60,70,75,70,45,410
365,1,3651,Walrein,Ice,Water,3,0,0,1.4,150.6,110,80,90,95,90,65,530
366,1,3661,Clamperl,Water,,3,0,0,0.4,52.5,35,64,85,74,55,32,345
367,1,3671,Huntail,Water,,3,0,0,1.7,27,55,104,105,94,75,52,485
368,1,3681,Gorebyss,Water,,3,0,0,1.8,22.6,55,84,105,114,75,52,485
369,1,3691,Relicanth,Water,Rock,3,0,0,1.0,23.4,100,90,130,45,65,55,485
370,1,3701,Luvdisc,Water,,3,0,0,0.6,8.7,43,30,55,40,65,97,330
371,1,3711,Bagon,Dragon,,3,0,0,0.6,42.1,45,75,60,40,30,50,300
372,1,3721,Shelgon,Dragon,,3,0,0,1.1,110.5,65,95,100,60,50,50,420
373,1,3731,Salamence,Dragon,Flying,3,0,0,1.5,102.6,95,135,80,110,80,100,600
373,2,3732,Mega Salamence,Dragon,Flying,3,0,1,1.8,112.6,95,145,130,120,90,120,700
374,1,3741,Beldum,Steel,Psychic,3,0,0,0.6,95.2,40,55,80,35,60,30,300
375,1,3751,Metang,Steel,Psychic,3,0,0,1.2,202.5,60,75,100,55,80,50,420
376,1,3761,Metagross,Steel,Psychic,3,0,0,1.6,550,80,135,130,95,90,70,600
376,2,3762,Mega Metagross,Steel,Psychic,3,0,1,2.5,942.9,80,145,150,105,110,110,700
377,1,3771,Regirock,Rock,,3,1,0,1.7,230,80,100,200,50,100,50,580
378,1,3781,Regice,Ice,,3,1,0,1.8,175,80,50,100,100,200,50,580
379,1,3791,Registeel,Steel,,3,1,0,1.9,205,80,75,150,75,150,50,580
380,1,3801,Latias,Dragon,Psychic,3,1,0,1.4,40,80,80,90,110,130,110,600
380,2,3802,Mega Latias,Dragon,Psychic,3,1,1,1.8,52,80,100,120,140,150,110,700
381,1,3811,Latios,Dragon,Psychic,3,1,0,2.0,60,80,90,80,130,110,110,600
381,2,3812,Mega Latios,Dragon,Psychic,3,1,1,2.3,70,80,130,100,160,120,110,700
382,1,3821,Kyogre,Water,,3,1,0,4.5,352,100,100,90,150,140,90,670
382,2,3822,Primal Kyogre,Water,,3,1,1,9.8,430,100,150,90,180,160,90,770
383,1,3831,Groudon,Ground,,3,1,0,3.5,950,100,150,140,100,90,90,670
383,2,3832,Primal Groudon,Ground,Fire,3,1,1,5.0,999.7,100,180,160,150,90,90,770
384,1,3841,Rayquaza,Dragon,Flying,3,1,0,7.0,206.5,105,150,90,150,90,95,680
384,2,3842,Mega Rayquaza,Dragon,Flying,3,1,1,10.8,392,105,180,100,180,100,115,780
385,1,3851,Jirachi,Steel,Psychic,3,1,0,0.3,1.1,100,100,100,100,100,100,600
386,1,3861,Deoxys,Psychic,,3,1,0,1.7,60.8,50,150,50,150,50,150,600
386,2,3862,Deoxys,Psychic,,3,1,0,1.7,60.8,50,180,20,180,20,150,600
386,3,3863,Deoxys,Psychic,,3,1,0,1.7,60.8,50,70,160,70,160,90,600
386,4,3864,Deoxys,Psychic,,3,1,0,1.7,60.8,50,95,90,95,90,180,600
387,1,3871,Turtwig,Grass,,4,0,0,0.4,10.2,55,68,64,45,55,31,318
388,1,3881,Grotle,Grass,,4,0,0,1.1,97,75,89,85,55,65,36,405
389,1,3891,Torterra,Grass,Ground,4,0,0,2.2,310,95,109,105,75,85,56,525
390,1,3901,Chimchar,Fire,,4,0,0,0.5,6.2,44,58,44,58,44,61,309
391,1,3911,Monferno,Fire,Fighting,4,0,0,0.9,22,64,78,52,78,52,81,405
392,1,3921,Infernape,Fire,Fighting,4,0,0,1.2,55,76,104,71,104,71,108,534
393,1,3931,Piplup,Water,,4,0,0,0.4,5.2,53,51,53,61,56,40,314
394,1,3941,Prinplup,Water,,4,0,0,0.8,23,64,66,68,81,76,50,405
395,1,3951,Empoleon,Water,Steel,4,0,0,1.7,84.5,84,86,88,111,101,60,530
396,1,3961,Starly,Normal,Flying,4,0,0,0.3,2,40,55,30,30,30,60,245
397,1,3971,Staravia,Normal,Flying,4,0,0,0.6,15.5,55,75,50,40,40,80,340
398,1,3981,Staraptor,Normal,Flying,4,0,0,1.2,24.9,85,120,70,50,60,100,485
399,1,3991,Bidoof,Normal,,4,0,0,0.5,20,59,45,40,35,40,31,250
400,1,4001,Bibarel,Normal,Water,4,0,0,1.0,31.5,79,85,60,55,60,71,410
401,1,4011,Kricketot,Bug,,4,0,0,0.3,2.2,37,25,41,25,41,25,194
402,1,4021,Kricketune,Bug,,4,0,0,1.0,25.5,77,85,51,55,51,65,384
403,1,4031,Shinx,Electric,,4,0,0,0.5,9.5,45,65,34,40,34,45,263
404,1,4041,Luxio,Electric,,4,0,0,0.9,30.5,60,85,49,60,49,60,363
405,1,4051,Luxray,Electric,,4,0,0,1.4,42,80,120,79,95,79,70,523
406,1,4061,Budew,Grass,Poison,4,0,0,0.2,1.2,40,30,35,50,70,55,280
407,1,4071,Roserade,Grass,Poison,4,0,0,0.9,14.5,60,70,65,125,105,90,515
408,1,4081,Cranidos,Rock,,4,0,0,0.9,31.5,67,125,40,30,30,58,350
409,1,4091,Rampardos,Rock,,4,0,0,1.6,102.5,97,165,60,65,50,58,495
410,1,4101,Shieldon,Rock,Steel,4,0,0,0.5,57,30,42,118,42,88,30,350
411,1,4111,Bastiodon,Rock,Steel,4,0,0,1.3,149.5,60,52,168,47,138,30,495
412,1,4121,Burmy,Bug,,4,0,0,0.2,3.4,40,29,45,29,45,36,224
413,1,4131,Wormadam,Bug,Grass,4,0,0,0.5,6.5,60,59,85,79,105,36,424
413,2,4132,Wormadam,Bug,Ground,4,0,0,0.5,6.5,60,79,105,59,85,36,424
413,3,4133,Wormadam,Bug,Steel,4,0,0,0.5,6.5,60,69,95,69,95,36,424
414,1,4141,Mothim,Bug,Flying,4,0,0,0.9,23.3,70,94,50,94,50,66,424
415,1,4151,Combee,Bug,Flying,4,0,0,0.3,5.5,30,30,42,30,42,70,244
416,1,4161,Vespiquen,Bug,Flying,4,0,0,1.2,38.5,70,80,102,80,102,40,474
417,1,4171,Pachirisu,Electric,,4,0,0,0.4,3.9,60,45,70,45,90,95,405
418,1,4181,Buizel,Water,,4,0,0,0.7,29.5,55,65,35,60,30,85,330
419,1,4191,Floatzel,Water,,4,0,0,1.1,33.5,85,105,55,85,50,115,495
420,1,4201,Cherubi,Grass,,4,0,0,0.4,3.3,45,35,45,62,53,35,275
421,1,4211,Cherrim,Grass,,4,0,0,0.5,9.3,70,60,70,87,78,85,450
421,2,4212,Cherrim,Grass,,4,0,0,0.5,9.3,70,60,70,87,78,85,450
422,1,4221,Shellos,Water,,4,0,0,0.3,6.3,76,48,48,57,62,34,325
422,2,4222,Shellos,Water,,4,0,0,0.3,6.3,76,48,48,57,62,34,325
423,1,4231,Gastrodon,Water,Ground,4,0,0,0.9,29.9,111,83,68,92,82,39,475
423,2,4232,Gastrodon,Water,Ground,4,0,0,0.9,29.9,111,83,68,92,82,39,475
424,1,4241,Ambipom,Normal,,4,0,0,1.2,20.3,75,100,66,60,66,115,482
425,1,4251,Drifloon,Ghost,Flying,4,0,0,0.4,1.2,90,50,34,60,44,70,348
426,1,4261,Drifblim,Ghost,Flying,4,0,0,1.2,15,150,80,44,90,54,80,498
427,1,4271,Buneary,Normal,,4,0,0,0.4,5.5,55,66,44,44,56,85,350
428,1,4281,Lopunny,Normal,,4,0,0,1.2,33.3,65,76,84,54,96,105,480
428,2,4282,Mega Lopunny,Normal,Fighting,4,0,1,1.3,28.3,65,136,94,54,96,135,580
429,1,4291,Mismagius,Ghost,,4,0,0,0.9,4.4,60,60,60,105,105,105,495
430,1,4301,Honchkrow,Dark,Flying,4,0,0,0.9,27.3,100,125,52,105,52,71,505
431,1,4311,Glameow,Normal,,4,0,0,0.5,3.9,49,55,42,42,37,85,310
432,1,4321,Purugly,Normal,,4,0,0,1.0,43.8,71,82,64,64,59,112,452
433,1,4331,Chingling,Psychic,,4,0,0,0.2,0.6,45,30,50,65,50,45,285
434,1,4341,Stunky,Poison,Dark,4,0,0,0.4,19.2,63,63,47,41,41,74,329
435,1,4351,Skuntank,Poison,Dark,4,0,0,1.0,38,103,93,67,71,61,84,479
436,1,4361,Bronzor,Steel,Psychic,4,0,0,0.5,60.5,57,24,86,24,86,23,300
437,1,4371,Bronzong,Steel,Psychic,4,0,0,1.3,187,67,89,116,79,116,33,500
438,1,4381,Bonsly,Rock,,4,0,0,0.5,15,50,80,95,10,45,10,290
439,1,4391,Mime Jr.,Psychic,Fairy,4,0,0,0.6,13,20,25,45,70,90,60,310
440,1,4401,Happiny,Normal,,4,0,0,0.6,24.4,100,5,5,15,65,30,220
441,1,4411,Chatot,Normal,Flying,4,0,0,0.5,1.9,76,65,45,92,42,91,411
442,1,4421,Spiritomb,Ghost,Dark,4,0,0,1.0,108,50,92,108,92,108,35,485
443,1,4431,Gible,Dragon,Ground,4,0,0,0.7,20.5,58,70,45,40,45,42,300
444,1,4441,Gabite,Dragon,Ground,4,0,0,1.4,56,68,90,65,50,55,82,410
445,1,4451,Garchomp,Dragon,Ground,4,0,0,1.9,95,108,130,95,80,85,102,600
445,2,4452,Mega Garchomp,Dragon,Ground,4,0,1,1.9,95,108,170,115,120,95,92,700
446,1,4461,Munchlax,Normal,,4,0,0,0.6,105,135,85,40,40,85,5,390
447,1,4471,Riolu,Fighting,,4,0,0,0.7,20.2,40,70,40,35,40,60,285
448,1,4481,Lucario,Fighting,Steel,4,0,0,1.2,54,70,110,70,115,70,90,525
448,2,4482,Mega Lucario,Fighting,Steel,4,0,1,1.3,57.5,70,145,88,140,70,112,625
449,1,4491,Hippopotas,Ground,,4,0,0,0.8,49.5,68,72,78,38,42,32,330
450,1,4501,Hippowdon,Ground,,4,0,0,2.0,300,108,112,118,68,72,47,525
451,1,4511,Skorupi,Poison,Bug,4,0,0,0.8,12,40,50,90,30,55,65,330
452,1,4521,Drapion,Poison,Dark,4,0,0,1.3,61.5,70,90,110,60,75,95,500
453,1,4531,Croagunk,Poison,Fighting,4,0,0,0.7,23,48,61,40,61,40,50,300
454,1,4541,Toxicroak,Poison,Fighting,4,0,0,1.3,44.4,83,106,65,86,65,85,490
455,1,4551,Carnivine,Grass,,4,0,0,1.4,27,74,100,72,90,72,46,454
456,1,4561,Finneon,Water,,4,0,0,0.4,7,49,49,56,49,61,66,330
457,1,4571,Lumineon,Water,,4,0,0,1.2,24,69,69,76,69,86,91,460
458,1,4581,Mantyke,Water,Flying,4,0,0,1.0,65,45,20,50,60,120,50,345
459,1,4591,Snover,Grass,Ice,4,0,0,1.0,50.5,60,62,50,62,60,40,334
460,1,4601,Abomasnow,Grass,Ice,4,0,0,2.2,135.5,90,92,75,92,85,60,494
460,2,4602,Mega Abomasnow,Grass,Ice,4,0,1,2.7,185,90,132,105,132,105,30,594
461,1,4611,Weavile,Dark,Ice,4,0,0,1.1,34,70,120,65,45,85,125,510
462,1,4621,Magnezone,Electric,Steel,4,0,0,1.2,180,70,70,115,130,90,60,535
463,1,4631,Lickilicky,Normal,,4,0,0,1.7,140,110,85,95,80,95,50,515
464,1,4641,Rhyperior,Ground,Rock,4,0,0,2.4,282.8,115,140,130,55,55,40,535
465,1,4651,Tangrowth,Grass,,4,0,0,2.0,128.6,100,100,125,110,50,50,535
466,1,4661,Electivire,Electric,,4,0,0,1.8,138.6,75,123,67,95,85,95,540
467,1,4671,Magmortar,Fire,,4,0,0,1.6,68,75,95,67,125,95,83,540
468,1,4681,Togekiss,Fairy,Flying,4,0,0,1.5,38,85,50,95,120,115,80,545
469,1,4691,Yanmega,Bug,Flying,4,0,0,1.9,51.5,86,76,86,116,56,95,515
470,1,4701,Leafeon,Grass,,4,0,0,1.0,25.5,65,110,130,60,65,95,525
471,1,4711,Glaceon,Ice,,4,0,0,0.8,25.9,65,60,110,130,95,65,525
472,1,4721,Gliscor,Ground,Flying,4,0,0,2.0,42.5,75,95,125,45,75,95,510
473,1,4731,Mamoswine,Ice,Ground,4,0,0,2.5,291,110,130,80,70,60,80,530
474,1,4741,Porygon-Z,Normal,,4,0,0,0.9,34,85,80,70,135,75,90,535
475,1,4751,Gallade,Psychic,Fighting,4,0,0,1.6,52,68,125,65,65,115,80,518
475,2,4752,Mega Gallade,Psychic,Fighting,4,0,1,1.6,56.4,68,165,95,65,115,110,618
476,1,4761,Probopass,Rock,Steel,4,0,0,1.4,340,60,55,145,75,150,40,525
477,1,4771,Dusknoir,Ghost,,4,0,0,2.2,106.6,45,100,135,65,135,45,525
478,1,4781,Froslass,Ice,Ghost,4,0,0,1.3,26.6,70,80,70,80,70,110,480
479,1,4791,Rotom,Electric,Ghost,4,0,0,0.3,0.3,50,50,77,95,77,91,440
479,2,4792,Rotom,Electric,Fire,4,0,0,0.3,0.3,50,65,107,105,107,86,520
479,3,4793,Rotom,Electric,Water,4,0,0,0.3,0.3,50,65,107,105,107,86,520
479,4,4794,Rotom,Electric,Ice,4,0,0,0.3,0.3,50,65,107,105,107,86,520
479,5,4795,Rotom,Electric,Flying,4,0,0,0.3,0.3,50,65,107,105,107,86,520
479,6,4796,Rotom,Electric,Grass,4,0,0,0.3,0.3,50,65,107,105,107,86,520
480,1,4801,Uxie,Psychic,,4,1,0,0.3,0.3,75,75,130,75,130,95,580
481,1,4811,Mesprit,Psychic,,4,1,0,0.3,0.3,80,105,105,105,105,80,580
482,1,4821,Azelf,Psychic,,4,1,0,0.3,0.3,75,125,70,125,70,115,580
483,1,4831,Dialga,Steel,Dragon,4,1,0,5.4,683,100,120,120,150,100,90,680
484,1,4841,Palkia,Water,Dragon,4,1,0,4.2,336,90,120,100,150,120,100,680
485,1,4851,Heatran,Fire,Steel,4,1,0,1.7,430,91,90,106,130,106,77,600
486,1,4861,Regigigas,Normal,,4,1,0,3.7,420,110,160,110,80,110,100,670
487,1,4871,Giratina,Ghost,Dragon,4,1,0,4.5,750,150,100,120,100,120,90,680
487,2,4872,Giratina,Ghost,Dragon,4,1,0,6.9,650,150,120,100,120,100,90,680
488,1,4881,Cresselia,Psychic,,4,1,0,1.5,85.6,120,70,120,75,130,85,600
489,1,4891,Phione,Water,,4,1,0,0.4,3.1,80,80,80,80,80,80,480
490,1,4901,Manaphy,Water,,4,1,0,0.3,1.4,100,100,100,100,100,100,600
491,1,4911,Darkrai,Dark,,4,1,0,1.5,50.5,70,90,90,135,90,125,600
492,1,4921,Shaymin,Grass,,4,1,0,0.2,2.1,100,100,100,100,100,100,600
492,2,4922,Shaymin,Grass,Flying,4,1,0,0.4,5.2,100,103,75,120,75,127,600
493,1,4931,Arceus,Normal,,4,1,0,3.2,320,120,120,120,120,120,120,720
494,1,4941,Victini,Psychic,Fire,5,1,0,0.4,4,100,100,100,100,100,100,600
495,1,4951,Snivy,Grass,,5,0,0,0.6,8.1,45,45,55,45,55,63,308
496,1,4961,Servine,Grass,,5,0,0,0.8,16,60,60,75,60,75,83,413
497,1,4971,Serperior,Grass,,5,0,0,3.3,63,75,75,95,75,95,113,528
498,1,4981,Tepig,Fire,,5,0,0,0.5,9.9,65,63,45,45,45,45,308
499,1,4991,Pignite,Fire,Fighting,5,0,0,1.0,55.5,90,93,55,70,55,55,418
500,1,5001,Emboar,Fire,Fighting,5,0,0,1.6,150,110,123,65,100,65,65,528
501,1,5011,Oshawott,Water,,5,0,0,0.5,5.9,55,55,45,63,45,45,308
